game_id,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,MappedHomeTeam,MappedAwayTeam,season,datetime,league,game_day,HomeTeam,AwayTeam,FTHG,FTAG,IWH,IWD,IWA,goal_diff,odds_diff,result
2016-08-26Bayern MunichWerder Bremen,Bayern Munich,Werder Bremen,93.89,64.54,0.9443,0.0098,0.0459,3.04,0.41,Bayern Munich,Werder Bremen,2016/2017,2016-08-26,D1,1.0,Bayern Munich,Werder Bremen,6.0,0.0,1.15,7.0,15.0,6.0,-13.85,6-0
2016-08-27AugsburgWolfsburg,FC Augsburg,VfL Wolfsburg,66.11,74.88,0.3472,0.3901,0.2626,1.29,1.34,Augsburg,Wolfsburg,2016/2017,2016-08-27,D1,1.0,Augsburg,Wolfsburg,0.0,2.0,2.6,3.2,2.6,-2.0,0.0,0-2
2016-08-27DortmundMainz,Borussia Dortmund,Mainz,86.98,70.03,0.7775,0.0683,0.1543,2.1,0.75,Dortmund,Mainz,2016/2017,2016-08-27,D1,1.0,Dortmund,Mainz,2.0,1.0,1.4,4.4,7.3,1.0,-5.9,2-1
2016-08-27FC KolnDarmstadt,FC Cologne,SV Darmstadt 98,66.95,56.08,0.5068,0.2196,0.2736,1.34,0.8,FC Koln,Darmstadt,2016/2017,2016-08-27,D1,1.0,FC Koln,Darmstadt,2.0,0.0,1.8,3.5,4.2,2.0,-2.4000000000000004,2-0
2016-08-27HamburgIngolstadt,Hamburg SV,FC Ingolstadt 04,63.6,55.43,0.4735,0.2526,0.2739,1.34,0.89,Hamburg,Ingolstadt,2016/2017,2016-08-27,D1,1.0,Hamburg,Ingolstadt,1.0,1.0,2.1,3.3,3.3,0.0,-1.1999999999999995,1-1
2016-08-27Ein FrankfurtSchalke 04,Eintracht Frankfurt,Schalke 04,64.72,72.01,0.3667,0.3682,0.2651,1.31,1.28,Ein Frankfurt,Schalke 04,2016/2017,2016-08-27,D1,1.0,Ein Frankfurt,Schalke 04,1.0,0.0,3.1,3.3,2.2,1.0,0.8999999999999999,1-0
2016-08-27M'gladbachLeverkusen,Borussia Monchengladbach,Bayer Leverkusen,75.09,80.6,0.3691,0.3679,0.263,1.38,1.31,M'gladbach,Leverkusen,2016/2017,2016-08-27,D1,1.0,M'gladbach,Leverkusen,2.0,1.0,2.5,3.2,2.75,1.0,-0.25,2-1
2016-08-28HerthaFreiburg,Hertha Berlin,SC Freiburg,69.11,69.05,0.457,0.2727,0.2703,1.37,1.01,Hertha,Freiburg,2016/2017,2016-08-28,D1,1.0,Hertha,Freiburg,2.0,1.0,2.2,3.2,3.2,1.0,-1.0,2-1
2016-08-28HoffenheimRB Leipzig,TSG Hoffenheim,RB Leipzig,66.06,66.11,0.4601,0.2819,0.258,1.5,1.12,Hoffenheim,RB Leipzig,2016/2017,2016-08-28,D1,1.0,Hoffenheim,RB Leipzig,2.0,2.0,2.6,3.2,2.6,0.0,0.0,2-2
2016-09-09Schalke 04Bayern Munich,Schalke 04,Bayern Munich,71.37,94.55,0.1536,0.6431,0.2032,0.86,2.16,Schalke 04,Bayern Munich,2016/2017,2016-09-09,D1,2.0,Schalke 04,Bayern Munich,0.0,2.0,8.5,5.0,1.35,-2.0,7.15,0-2
