Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
24/08/2018,Bayern Munich,Hoffenheim,3,1,H,1.3,5.8,9.0,2018-08-24,2018/2019,1,D1,3-1,2,-7.7,2018-08-24Bayern MunichHoffenheim
25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,A,2.4,3.3,2.95,2018-08-25,2018/2019,1,D1,1-2,-1,-0.5500000000000003,2018-08-25Fortuna DusseldorfAugsburg
25/08/2018,Freiburg,Ein Frankfurt,0,2,A,2.4,3.3,2.95,2018-08-25,2018/2019,1,D1,0-2,-2,-0.5500000000000003,2018-08-25FreiburgEin Frankfurt
25/08/2018,Hertha,Nurnberg,1,0,H,2.1,3.4,3.5,2018-08-25,2018/2019,1,D1,1-0,1,-1.4,2018-08-25HerthaNurnberg
25/08/2018,M'gladbach,Leverkusen,2,0,H,2.8,3.4,2.5,2018-08-25,2018/2019,1,D1,2-0,2,0.2999999999999998,2018-08-25M'gladbachLeverkusen
25/08/2018,Werder Bremen,Hannover,1,1,D,1.9,3.5,4.1,2018-08-25,2018/2019,1,D1,1-1,0,-2.1999999999999997,2018-08-25Werder BremenHannover
25/08/2018,Wolfsburg,Schalke 04,2,1,H,2.85,3.3,2.5,2018-08-25,2018/2019,1,D1,2-1,1,0.3500000000000001,2018-08-25WolfsburgSchalke 04
26/08/2018,Dortmund,RB Leipzig,4,1,H,1.8,3.6,4.5,2018-08-26,2018/2019,1,D1,4-1,3,-2.7,2018-08-26DortmundRB Leipzig
26/08/2018,Mainz,Stuttgart,1,0,H,2.65,3.3,2.65,2018-08-26,2018/2019,1,D1,1-0,1,0.0,2018-08-26MainzStuttgart
31/08/2018,Hannover,Dortmund,0,0,D,5.5,4.0,1.6,2018-08-31,2018/2019,2,D1,0-0,0,3.9,2018-08-31HannoverDortmund
01/09/2018,Augsburg,M'gladbach,1,1,D,2.65,3.4,2.65,2018-09-01,2018/2019,2,D1,1-1,0,0.0,2018-09-01AugsburgM'gladbach
01/09/2018,Ein Frankfurt,Werder Bremen,1,2,A,2.3,3.3,3.15,2018-09-01,2018/2019,2,D1,1-2,-1,-0.8500000000000001,2018-09-01Ein FrankfurtWerder Bremen
01/09/2018,Hoffenheim,Freiburg,3,1,H,1.6,4.2,5.3,2018-09-01,2018/2019,2,D1,3-1,2,-3.6999999999999997,2018-09-01HoffenheimFreiburg
01/09/2018,Leverkusen,Wolfsburg,1,3,A,1.65,4.1,5.0,2018-09-01,2018/2019,2,D1,1-3,-2,-3.35,2018-09-01LeverkusenWolfsburg
01/09/2018,Nurnberg,Mainz,1,1,D,2.4,3.3,2.95,2018-09-01,2018/2019,2,D1,1-1,0,-0.5500000000000003,2018-09-01NurnbergMainz
01/09/2018,Stuttgart,Bayern Munich,0,3,A,9.5,5.5,1.3,2018-09-01,2018/2019,2,D1,0-3,-3,8.2,2018-09-01StuttgartBayern Munich
02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,D,1.45,4.5,7.1,2018-09-02,2018/2019,2,D1,1-1,0,-5.6499999999999995,2018-09-02RB LeipzigFortuna Dusseldorf
02/09/2018,Schalke 04,Hertha,0,2,A,1.75,3.7,4.8,2018-09-02,2018/2019,2,D1,0-2,-2,-3.05,2018-09-02Schalke 04Hertha
14/09/2018,Dortmund,Ein Frankfurt,3,1,H,1.45,4.5,7.0,2018-09-14,2018/2019,3,D1,3-1,2,-5.55,2018-09-14DortmundEin Frankfurt
