Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
13/08/11,Blackburn,Wolves,1,2,A,2.0,3.3,3.3,2011-08-13,2011/2012,1,E0,1-2,-1,-1.2999999999999998,2011-08-13BlackburnWolves
13/08/11,Fulham,Aston Villa,0,0,D,2.2,3.2,3.0,2011-08-13,2011/2012,1,E0,0-0,0,-0.7999999999999998,2011-08-13FulhamAston Villa
13/08/11,Liverpool,Sunderland,1,1,D,1.4,4.1,7.0,2011-08-13,2011/2012,1,E0,1-1,0,-5.6,2011-08-13LiverpoolSunderland
13/08/11,Newcastle,Arsenal,0,0,D,3.7,3.3,1.9,2011-08-13,2011/2012,1,E0,0-0,0,1.8000000000000003,2011-08-13NewcastleArsenal
13/08/11,QPR,Bolton,0,4,A,2.3,3.2,2.8,2011-08-13,2011/2012,1,E0,0-4,-4,-0.5,2011-08-13QPRBolton
13/08/11,Wigan,Norwich,1,1,D,1.9,3.3,3.7,2011-08-13,2011/2012,1,E0,1-1,0,-1.8000000000000003,2011-08-13WiganNorwich
14/08/11,Stoke,Chelsea,0,0,D,5.4,3.7,1.55,2011-08-14,2011/2012,1,E0,0-0,0,3.8500000000000005,2011-08-14StokeChelsea
14/08/11,West Brom,Man United,1,2,A,5.4,3.7,1.55,2011-08-14,2011/2012,1,E0,1-2,-1,3.8500000000000005,2011-08-14West BromMan United
15/08/11,Man City,Swansea,4,0,H,1.22,5.3,11.0,2011-08-15,2011/2012,1,E0,4-0,4,-9.78,2011-08-15Man CitySwansea
20/08/11,Arsenal,Liverpool,0,2,A,2.3,3.2,2.8,2011-08-20,2011/2012,2,E0,0-2,-2,-0.5,2011-08-20ArsenalLiverpool
20/08/11,Aston Villa,Blackburn,3,1,H,1.7,3.5,4.4,2011-08-20,2011/2012,2,E0,3-1,2,-2.7,2011-08-20Aston VillaBlackburn
20/08/11,Chelsea,West Brom,2,1,H,1.25,5.0,10.0,2011-08-20,2011/2012,2,E0,2-1,1,-8.75,2011-08-20ChelseaWest Brom
20/08/11,Everton,QPR,0,1,A,1.5,3.9,5.5,2011-08-20,2011/2012,2,E0,0-1,-1,-4.0,2011-08-20EvertonQPR
20/08/11,Sunderland,Newcastle,0,1,A,2.1,3.2,3.2,2011-08-20,2011/2012,2,E0,0-1,-1,-1.1,2011-08-20SunderlandNewcastle
20/08/11,Swansea,Wigan,0,0,D,2.2,3.2,3.0,2011-08-20,2011/2012,2,E0,0-0,0,-0.7999999999999998,2011-08-20SwanseaWigan
21/08/11,Bolton,Man City,2,3,A,4.4,3.5,1.7,2011-08-21,2011/2012,2,E0,2-3,-1,2.7,2011-08-21BoltonMan City
21/08/11,Norwich,Stoke,1,1,D,2.4,3.2,2.7,2011-08-21,2011/2012,2,E0,1-1,0,-0.30000000000000027,2011-08-21NorwichStoke
21/08/11,Wolves,Fulham,2,0,H,2.2,3.2,3.0,2011-08-21,2011/2012,2,E0,2-0,2,-0.7999999999999998,2011-08-21WolvesFulham
22/08/11,Man United,Tottenham,3,0,H,1.5,3.9,5.5,2011-08-22,2011/2012,3,E0,3-0,3,-4.0,2011-08-22Man UnitedTottenham
27/08/11,Aston Villa,Wolves,0,0,D,2.0,3.3,3.3,2011-08-27,2011/2012,3,E0,0-0,0,-1.2999999999999998,2011-08-27Aston VillaWolves
27/08/11,Blackburn,Everton,0,1,A,2.7,3.2,2.4,2011-08-27,2011/2012,3,E0,0-1,-1,0.30000000000000027,2011-08-27BlackburnEverton
27/08/11,Chelsea,Norwich,3,1,H,1.2,5.5,12.0,2011-08-27,2011/2012,3,E0,3-1,2,-10.8,2011-08-27ChelseaNorwich
27/08/11,Liverpool,Bolton,3,1,H,1.35,4.5,7.3,2011-08-27,2011/2012,3,E0,3-1,2,-5.949999999999999,2011-08-27LiverpoolBolton
27/08/11,Swansea,Sunderland,0,0,D,2.3,3.2,2.8,2011-08-27,2011/2012,3,E0,0-0,0,-0.5,2011-08-27SwanseaSunderland
27/08/11,Wigan,QPR,2,0,H,2.25,3.2,2.9,2011-08-27,2011/2012,3,E0,2-0,2,-0.6499999999999999,2011-08-27WiganQPR
28/08/11,Man United,Arsenal,8,2,H,1.55,3.7,5.4,2011-08-28,2011/2012,3,E0,8-2,6,-3.8500000000000005,2011-08-28Man UnitedArsenal
28/08/11,Newcastle,Fulham,2,1,H,2.1,3.3,3.1,2011-08-28,2011/2012,3,E0,2-1,1,-1.0,2011-08-28NewcastleFulham
28/08/11,Tottenham,Man City,1,5,A,2.5,3.3,2.5,2011-08-28,2011/2012,4,E0,1-5,-4,0.0,2011-08-28TottenhamMan City
28/08/11,West Brom,Stoke,0,1,A,2.2,3.2,3.0,2011-08-28,2011/2012,4,E0,0-1,-1,-0.7999999999999998,2011-08-28West BromStoke
10/09/11,Arsenal,Swansea,1,0,H,1.35,4.5,7.3,2011-09-10,2011/2012,4,E0,1-0,1,-5.949999999999999,2011-09-10ArsenalSwansea
10/09/11,Bolton,Man United,0,5,A,7.0,4.1,1.4,2011-09-10,2011/2012,4,E0,0-5,-5,5.6,2011-09-10BoltonMan United
10/09/11,Everton,Aston Villa,2,2,D,1.9,3.3,3.7,2011-09-10,2011/2012,4,E0,2-2,0,-1.8000000000000003,2011-09-10EvertonAston Villa
10/09/11,Man City,Wigan,3,0,H,1.22,5.3,11.0,2011-09-10,2011/2012,4,E0,3-0,3,-9.78,2011-09-10Man CityWigan
10/09/11,Stoke,Liverpool,1,0,H,3.2,3.2,2.1,2011-09-10,2011/2012,4,E0,1-0,1,1.1,2011-09-10StokeLiverpool
10/09/11,Sunderland,Chelsea,1,2,A,5.0,3.6,1.6,2011-09-10,2011/2012,4,E0,1-2,-1,3.4,2011-09-10SunderlandChelsea
10/09/11,Wolves,Tottenham,0,2,A,2.7,3.2,2.4,2011-09-10,2011/2012,4,E0,0-2,-2,0.30000000000000027,2011-09-10WolvesTottenham
11/09/11,Fulham,Blackburn,1,1,D,1.75,3.4,4.3,2011-09-11,2011/2012,5,E0,1-1,0,-2.55,2011-09-11FulhamBlackburn
11/09/11,Norwich,West Brom,0,1,A,2.4,3.2,2.7,2011-09-11,2011/2012,5,E0,0-1,-1,-0.30000000000000027,2011-09-11NorwichWest Brom
12/09/11,QPR,Newcastle,0,0,D,2.5,3.3,2.5,2011-09-12,2011/2012,5,E0,0-0,0,0.0,2011-09-12QPRNewcastle
17/09/11,Aston Villa,Newcastle,1,1,D,2.0,3.3,3.3,2011-09-17,2011/2012,5,E0,1-1,0,-1.2999999999999998,2011-09-17Aston VillaNewcastle
17/09/11,Blackburn,Arsenal,4,3,H,4.0,3.4,1.8,2011-09-17,2011/2012,5,E0,4-3,1,2.2,2011-09-17BlackburnArsenal
17/09/11,Bolton,Norwich,1,2,A,1.75,3.4,4.3,2011-09-17,2011/2012,5,E0,1-2,-1,-2.55,2011-09-17BoltonNorwich
17/09/11,Everton,Wigan,3,1,H,1.6,3.6,5.0,2011-09-17,2011/2012,5,E0,3-1,2,-3.4,2011-09-17EvertonWigan
17/09/11,Swansea,West Brom,3,0,H,2.5,3.2,2.6,2011-09-17,2011/2012,5,E0,3-0,3,-0.10000000000000009,2011-09-17SwanseaWest Brom
17/09/11,Wolves,QPR,0,3,A,1.9,3.3,3.7,2011-09-17,2011/2012,5,E0,0-3,-3,-1.8000000000000003,2011-09-17WolvesQPR
18/09/11,Fulham,Man City,2,2,D,5.4,3.7,1.55,2011-09-18,2011/2012,6,E0,2-2,0,3.8500000000000005,2011-09-18FulhamMan City
18/09/11,Man United,Chelsea,3,1,H,1.8,3.4,4.0,2011-09-18,2011/2012,6,E0,3-1,2,-2.2,2011-09-18Man UnitedChelsea
18/09/11,Sunderland,Stoke,4,0,H,2.4,3.2,2.7,2011-09-18,2011/2012,6,E0,4-0,4,-0.30000000000000027,2011-09-18SunderlandStoke
18/09/11,Tottenham,Liverpool,4,0,H,2.4,3.3,2.65,2011-09-18,2011/2012,6,E0,4-0,4,-0.25,2011-09-18TottenhamLiverpool
24/09/11,Arsenal,Bolton,3,0,H,1.45,3.9,6.5,2011-09-24,2011/2012,6,E0,3-0,3,-5.05,2011-09-24ArsenalBolton
24/09/11,Chelsea,Swansea,4,1,H,1.18,5.8,13.0,2011-09-24,2011/2012,6,E0,4-1,3,-11.82,2011-09-24ChelseaSwansea
24/09/11,Liverpool,Wolves,2,1,H,1.37,4.3,7.2,2011-09-24,2011/2012,6,E0,2-1,1,-5.83,2011-09-24LiverpoolWolves
24/09/11,Man City,Everton,2,0,H,1.4,4.1,7.0,2011-09-24,2011/2012,6,E0,2-0,2,-5.6,2011-09-24Man CityEverton
24/09/11,Newcastle,Blackburn,3,1,H,1.9,3.3,3.7,2011-09-24,2011/2012,6,E0,3-1,2,-1.8000000000000003,2011-09-24NewcastleBlackburn
24/09/11,Stoke,Man United,1,1,D,5.7,3.8,1.52,2011-09-24,2011/2012,7,E0,1-1,0,4.18,2011-09-24StokeMan United
24/09/11,West Brom,Fulham,0,0,D,2.3,3.2,2.8,2011-09-24,2011/2012,7,E0,0-0,0,-0.5,2011-09-24West BromFulham
24/09/11,Wigan,Tottenham,1,2,A,3.3,3.3,2.0,2011-09-24,2011/2012,7,E0,1-2,-1,1.2999999999999998,2011-09-24WiganTottenham
25/09/11,QPR,Aston Villa,1,1,D,2.4,3.2,2.7,2011-09-25,2011/2012,7,E0,1-1,0,-0.30000000000000027,2011-09-25QPRAston Villa
26/09/11,Norwich,Sunderland,2,1,H,2.4,3.2,2.7,2011-09-26,2011/2012,7,E0,2-1,1,-0.30000000000000027,2011-09-26NorwichSunderland
01/10/11,Aston Villa,Wigan,2,0,H,1.7,3.5,4.4,2011-10-01,2011/2012,7,E0,2-0,2,-2.7,2011-10-01Aston VillaWigan
01/10/11,Blackburn,Man City,0,4,A,5.0,3.6,1.6,2011-10-01,2011/2012,7,E0,0-4,-4,3.4,2011-10-01BlackburnMan City
01/10/11,Everton,Liverpool,0,2,A,2.7,3.2,2.4,2011-10-01,2011/2012,7,E0,0-2,-2,0.30000000000000027,2011-10-01EvertonLiverpool
01/10/11,Man United,Norwich,2,0,H,1.15,6.2,14.0,2011-10-01,2011/2012,7,E0,2-0,2,-12.85,2011-10-01Man UnitedNorwich
01/10/11,Sunderland,West Brom,2,2,D,2.0,3.3,3.3,2011-10-01,2011/2012,8,E0,2-2,0,-1.2999999999999998,2011-10-01SunderlandWest Brom
01/10/11,Wolves,Newcastle,1,2,A,2.4,3.2,2.7,2011-10-01,2011/2012,8,E0,1-2,-1,-0.30000000000000027,2011-10-01WolvesNewcastle
02/10/11,Bolton,Chelsea,1,5,A,6.5,3.9,1.45,2011-10-02,2011/2012,8,E0,1-5,-4,5.05,2011-10-02BoltonChelsea
02/10/11,Fulham,QPR,6,0,H,1.8,3.4,4.0,2011-10-02,2011/2012,8,E0,6-0,6,-2.2,2011-10-02FulhamQPR
02/10/11,Swansea,Stoke,2,0,H,2.55,3.2,2.55,2011-10-02,2011/2012,8,E0,2-0,2,0.0,2011-10-02SwanseaStoke
02/10/11,Tottenham,Arsenal,2,1,H,2.2,3.3,2.9,2011-10-02,2011/2012,8,E0,2-1,1,-0.6999999999999997,2011-10-02TottenhamArsenal
15/10/11,Chelsea,Everton,3,1,H,1.35,4.5,7.3,2011-10-15,2011/2012,8,E0,3-1,2,-5.949999999999999,2011-10-15ChelseaEverton
15/10/11,Liverpool,Man United,1,1,D,2.7,3.2,2.4,2011-10-15,2011/2012,8,E0,1-1,0,0.30000000000000027,2011-10-15LiverpoolMan United
15/10/11,Man City,Aston Villa,4,1,H,1.35,4.5,7.3,2011-10-15,2011/2012,8,E0,4-1,3,-5.949999999999999,2011-10-15Man CityAston Villa
15/10/11,Norwich,Swansea,3,1,H,2.1,3.3,3.1,2011-10-15,2011/2012,9,E0,3-1,2,-1.0,2011-10-15NorwichSwansea
15/10/11,QPR,Blackburn,1,1,D,1.95,3.3,3.6,2011-10-15,2011/2012,9,E0,1-1,0,-1.6500000000000001,2011-10-15QPRBlackburn
15/10/11,Stoke,Fulham,2,0,H,2.0,3.2,3.4,2011-10-15,2011/2012,9,E0,2-0,2,-1.4,2011-10-15StokeFulham
15/10/11,Wigan,Bolton,1,3,A,2.3,3.2,2.8,2011-10-15,2011/2012,9,E0,1-3,-2,-0.5,2011-10-15WiganBolton
16/10/11,Arsenal,Sunderland,2,1,H,1.45,3.9,6.5,2011-10-16,2011/2012,9,E0,2-1,1,-5.05,2011-10-16ArsenalSunderland
16/10/11,Newcastle,Tottenham,2,2,D,2.6,3.2,2.5,2011-10-16,2011/2012,9,E0,2-2,0,0.10000000000000009,2011-10-16NewcastleTottenham
16/10/11,West Brom,Wolves,2,0,H,2.1,3.2,3.2,2011-10-16,2011/2012,9,E0,2-0,2,-1.1,2011-10-16West BromWolves
22/10/11,Aston Villa,West Brom,1,2,A,2.0,3.3,3.3,2011-10-22,2011/2012,9,E0,1-2,-1,-1.2999999999999998,2011-10-22Aston VillaWest Brom
22/10/11,Bolton,Sunderland,0,2,A,2.2,3.2,3.0,2011-10-22,2011/2012,9,E0,0-2,-2,-0.7999999999999998,2011-10-22BoltonSunderland
22/10/11,Liverpool,Norwich,1,1,D,1.33,4.6,7.8,2011-10-22,2011/2012,10,E0,1-1,0,-6.47,2011-10-22LiverpoolNorwich
22/10/11,Newcastle,Wigan,1,0,H,1.6,3.6,5.0,2011-10-22,2011/2012,10,E0,1-0,1,-3.4,2011-10-22NewcastleWigan
22/10/11,Wolves,Swansea,2,2,D,1.95,3.3,3.6,2011-10-22,2011/2012,10,E0,2-2,0,-1.6500000000000001,2011-10-22WolvesSwansea
23/10/11,Arsenal,Stoke,3,1,H,1.6,3.6,5.0,2011-10-23,2011/2012,10,E0,3-1,2,-3.4,2011-10-23ArsenalStoke
23/10/11,Blackburn,Tottenham,1,2,A,3.7,3.3,1.9,2011-10-23,2011/2012,10,E0,1-2,-1,1.8000000000000003,2011-10-23BlackburnTottenham
23/10/11,Fulham,Everton,1,3,A,2.4,3.2,2.7,2011-10-23,2011/2012,10,E0,1-3,-2,-0.30000000000000027,2011-10-23FulhamEverton
