Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
19/09/2020,Fiorentina,Torino,1,0,H,1.9,3.45,4.1,2020-09-19,2020/2021,1,I1,1-0,1,-2.1999999999999997,2020-09-19FiorentinaTorino
19/09/2020,Verona,Roma,0,0,D,3.85,3.45,1.95,2020-09-19,2020/2021,1,I1,0-0,0,1.9000000000000001,2020-09-19VeronaRoma
20/09/2020,Parma,Napoli,0,2,A,5.0,3.95,1.65,2020-09-20,2020/2021,1,I1,0-2,-2,3.35,2020-09-20ParmaNapoli
20/09/2020,Genoa,Crotone,4,1,H,1.95,3.4,4.0,2020-09-20,2020/2021,1,I1,4-1,3,-2.05,2020-09-20GenoaCrotone
20/09/2020,Sassuolo,Cagliari,1,1,D,1.97,3.6,3.6,2020-09-20,2020/2021,1,I1,1-1,0,-1.6300000000000001,2020-09-20SassuoloCagliari
20/09/2020,Juventus,Sampdoria,3,0,H,1.3,6.25,9.5,2020-09-20,2020/2021,1,I1,3-0,3,-8.2,2020-09-20JuventusSampdoria
21/09/2020,Milan,Bologna,2,0,H,1.6,4.1,5.5,2020-09-21,2020/2021,1,I1,2-0,2,-3.9,2020-09-21MilanBologna
26/09/2020,Torino,Atalanta,2,4,A,4.9,4.0,1.65,2020-09-26,2020/2021,1,I1,2-4,-2,3.2500000000000004,2020-09-26TorinoAtalanta
26/09/2020,Cagliari,Lazio,0,2,A,4.9,3.85,1.7,2020-09-26,2020/2021,1,I1,0-2,-2,3.2,2020-09-26CagliariLazio
26/09/2020,Sampdoria,Benevento,2,3,A,2.05,3.35,3.65,2020-09-26,2020/2021,2,I1,2-3,-1,-1.6,2020-09-26SampdoriaBenevento
26/09/2020,Inter,Fiorentina,4,3,H,1.57,4.0,5.75,2020-09-26,2020/2021,2,I1,4-3,1,-4.18,2020-09-26InterFiorentina
27/09/2020,Spezia,Sassuolo,1,4,A,4.8,3.75,1.7,2020-09-27,2020/2021,2,I1,1-4,-3,3.0999999999999996,2020-09-27SpeziaSassuolo
27/09/2020,Napoli,Genoa,6,0,H,1.33,5.25,9.5,2020-09-27,2020/2021,2,I1,6-0,6,-8.17,2020-09-27NapoliGenoa
27/09/2020,Verona,Udinese,1,0,H,2.75,2.9,2.75,2020-09-27,2020/2021,2,I1,1-0,1,0.0,2020-09-27VeronaUdinese
27/09/2020,Crotone,Milan,0,2,A,6.0,4.1,1.55,2020-09-27,2020/2021,2,I1,0-2,-2,4.45,2020-09-27CrotoneMilan
27/09/2020,Roma,Juventus,2,2,D,3.55,3.4,2.05,2020-09-27,2020/2021,2,I1,2-2,0,1.5,2020-09-27RomaJuventus
28/09/2020,Bologna,Parma,4,1,H,1.97,3.45,3.75,2020-09-28,2020/2021,2,I1,4-1,3,-1.78,2020-09-28BolognaParma
30/09/2020,Benevento,Inter,2,5,A,7.5,4.9,1.4,2020-09-30,2020/2021,2,I1,2-5,-3,6.1,2020-09-30BeneventoInter
30/09/2020,Udinese,Spezia,0,2,A,1.63,3.65,5.75,2020-09-30,2020/2021,3,I1,0-2,-2,-4.12,2020-09-30UdineseSpezia
30/09/2020,Lazio,Atalanta,1,4,A,2.6,3.5,2.55,2020-09-30,2020/2021,3,I1,1-4,-3,0.050000000000000266,2020-09-30LazioAtalanta
02/10/2020,Fiorentina,Sampdoria,1,2,A,1.67,4.0,5.0,2020-10-02,2020/2021,3,I1,1-2,-1,-3.33,2020-10-02FiorentinaSampdoria
03/10/2020,Sassuolo,Crotone,4,1,H,1.43,4.6,7.0,2020-10-03,2020/2021,3,I1,4-1,3,-5.57,2020-10-03SassuoloCrotone
03/10/2020,Udinese,Roma,0,1,A,5.0,3.8,1.67,2020-10-03,2020/2021,3,I1,0-1,-1,3.33,2020-10-03UdineseRoma
04/10/2020,Atalanta,Cagliari,5,2,H,1.27,6.0,10.0,2020-10-04,2020/2021,3,I1,5-2,3,-8.73,2020-10-04AtalantaCagliari
04/10/2020,Benevento,Bologna,1,0,H,3.1,3.4,2.25,2020-10-04,2020/2021,3,I1,1-0,1,0.8500000000000001,2020-10-04BeneventoBologna
04/10/2020,Lazio,Inter,1,1,D,3.1,3.55,2.2,2020-10-04,2020/2021,3,I1,1-1,0,0.8999999999999999,2020-10-04LazioInter
04/10/2020,Parma,Verona,1,0,H,2.9,2.95,2.6,2020-10-04,2020/2021,3,I1,1-0,1,0.2999999999999998,2020-10-04ParmaVerona
04/10/2020,Milan,Spezia,3,0,H,1.3,5.25,10.0,2020-10-04,2020/2021,4,I1,3-0,3,-8.7,2020-10-04MilanSpezia
17/10/2020,Napoli,Atalanta,4,1,H,2.5,3.55,2.6,2020-10-17,2020/2021,4,I1,4-1,3,-0.10000000000000009,2020-10-17NapoliAtalanta
17/10/2020,Inter,Milan,1,2,A,2.35,3.35,3.0,2020-10-17,2020/2021,4,I1,1-2,-1,-0.6499999999999999,2020-10-17InterMilan
17/10/2020,Sampdoria,Lazio,3,0,H,3.25,3.35,2.2,2020-10-17,2020/2021,4,I1,3-0,3,1.0499999999999998,2020-10-17SampdoriaLazio
17/10/2020,Crotone,Juventus,1,1,D,7.0,4.7,1.45,2020-10-17,2020/2021,4,I1,1-1,0,5.55,2020-10-17CrotoneJuventus
18/10/2020,Bologna,Sassuolo,3,4,A,2.8,3.45,2.4,2020-10-18,2020/2021,4,I1,3-4,-1,0.3999999999999999,2020-10-18BolognaSassuolo
18/10/2020,Spezia,Fiorentina,2,2,D,5.25,3.85,1.63,2020-10-18,2020/2021,4,I1,2-2,0,3.62,2020-10-18SpeziaFiorentina
18/10/2020,Torino,Cagliari,2,3,A,2.2,3.25,3.3,2020-10-18,2020/2021,4,I1,2-3,-1,-1.0999999999999996,2020-10-18TorinoCagliari
18/10/2020,Roma,Benevento,5,2,H,1.37,5.0,8.0,2020-10-18,2020/2021,4,I1,5-2,3,-6.63,2020-10-18RomaBenevento
23/10/2020,Sassuolo,Torino,3,3,D,1.73,4.0,4.3,2020-10-23,2020/2021,5,I1,3-3,0,-2.57,2020-10-23SassuoloTorino
24/10/2020,Atalanta,Sampdoria,1,3,A,1.43,5.0,6.5,2020-10-24,2020/2021,5,I1,1-3,-2,-5.07,2020-10-24AtalantaSampdoria
24/10/2020,Genoa,Inter,0,2,A,7.5,4.8,1.4,2020-10-24,2020/2021,5,I1,0-2,-2,6.1,2020-10-24GenoaInter
24/10/2020,Lazio,Bologna,2,1,H,1.73,3.95,4.4,2020-10-24,2020/2021,5,I1,2-1,1,-2.6700000000000004,2020-10-24LazioBologna
25/10/2020,Cagliari,Crotone,4,2,H,2.1,3.35,3.55,2020-10-25,2020/2021,5,I1,4-2,2,-1.4499999999999997,2020-10-25CagliariCrotone
25/10/2020,Benevento,Napoli,1,2,A,8.0,5.25,1.35,2020-10-25,2020/2021,5,I1,1-2,-1,6.65,2020-10-25BeneventoNapoli
