Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,IWH,IWD,IWA,datetime,season,game_day,league,result,goal_diff,odds_diff,game_id
17/08/13,Sociedad,Getafe,2,0,H,1.7,3.6,4.7,2013-08-17,2013/2014,1,SP1,2-0,2,-3.0,2013-08-17SociedadGetafe
17/08/13,Valencia,Malaga,1,0,H,1.55,3.9,5.6,2013-08-17,2013/2014,1,SP1,1-0,1,-4.05,2013-08-17ValenciaMalaga
17/08/13,Valladolid,Ath Bilbao,1,2,A,2.4,3.3,2.75,2013-08-17,2013/2014,1,SP1,1-2,-1,-0.3500000000000001,2013-08-17ValladolidAth Bilbao
18/08/13,Barcelona,Levante,7,0,H,1.1,8.0,20.0,2013-08-18,2013/2014,1,SP1,7-0,7,-18.9,2013-08-18BarcelonaLevante
18/08/13,Osasuna,Granada,1,2,A,2.0,3.3,3.6,2013-08-18,2013/2014,1,SP1,1-2,-1,-1.6,2013-08-18OsasunaGranada
18/08/13,Real Madrid,Betis,2,1,H,1.17,6.5,14.0,2013-08-18,2013/2014,1,SP1,2-1,1,-12.83,2013-08-18Real MadridBetis
18/08/13,Sevilla,Ath Madrid,1,3,A,2.6,3.2,2.6,2013-08-18,2013/2014,1,SP1,1-3,-2,0.0,2013-08-18SevillaAth Madrid
19/08/13,Almeria,Villarreal,2,3,A,2.5,3.3,2.65,2013-08-19,2013/2014,1,SP1,2-3,-1,-0.1499999999999999,2013-08-19AlmeriaVillarreal
19/08/13,Celta,Espanol,2,2,D,2.2,3.3,3.1,2013-08-19,2013/2014,1,SP1,2-2,0,-0.8999999999999999,2013-08-19CeltaEspanol
19/08/13,Vallecano,Elche,3,0,H,2.1,3.3,3.3,2013-08-19,2013/2014,2,SP1,3-0,3,-1.1999999999999997,2013-08-19VallecanoElche
23/08/13,Ath Bilbao,Osasuna,2,0,H,1.7,3.6,4.7,2013-08-23,2013/2014,2,SP1,2-0,2,-3.0,2013-08-23Ath BilbaoOsasuna
23/08/13,Getafe,Almeria,2,2,D,1.85,3.45,4.0,2013-08-23,2013/2014,2,SP1,2-2,0,-2.15,2013-08-23GetafeAlmeria
24/08/13,Elche,Sociedad,1,1,D,3.0,3.3,2.25,2013-08-24,2013/2014,2,SP1,1-1,0,0.75,2013-08-24ElcheSociedad
24/08/13,Espanol,Valencia,3,1,H,2.9,3.3,2.3,2013-08-24,2013/2014,2,SP1,3-1,2,0.6000000000000001,2013-08-24EspanolValencia
24/08/13,Villarreal,Valladolid,2,1,H,1.85,3.45,4.0,2013-08-24,2013/2014,2,SP1,2-1,1,-2.15,2013-08-24VillarrealValladolid
25/08/13,Ath Madrid,Vallecano,5,0,H,1.35,4.8,7.6,2013-08-25,2013/2014,2,SP1,5-0,5,-6.25,2013-08-25Ath MadridVallecano
25/08/13,Betis,Celta,1,2,A,1.7,3.7,4.5,2013-08-25,2013/2014,2,SP1,1-2,-1,-2.8,2013-08-25BetisCelta
25/08/13,Levante,Sevilla,0,0,D,2.85,3.3,2.35,2013-08-25,2013/2014,2,SP1,0-0,0,0.5,2013-08-25LevanteSevilla
25/08/13,Malaga,Barcelona,0,1,A,10.3,5.5,1.25,2013-08-25,2013/2014,3,SP1,0-1,-1,9.05,2013-08-25MalagaBarcelona
26/08/13,Granada,Real Madrid,0,1,A,10.0,5.2,1.27,2013-08-26,2013/2014,3,SP1,0-1,-1,8.73,2013-08-26GranadaReal Madrid
30/08/13,Almeria,Elche,2,2,D,2.1,3.3,3.3,2013-08-30,2013/2014,3,SP1,2-2,0,-1.1999999999999997,2013-08-30AlmeriaElche
30/08/13,Vallecano,Levante,1,2,A,2.0,3.3,3.6,2013-08-30,2013/2014,3,SP1,1-2,-1,-1.6,2013-08-30VallecanoLevante
31/08/13,Celta,Granada,1,1,D,2.1,3.3,3.3,2013-08-31,2013/2014,3,SP1,1-1,0,-1.1999999999999997,2013-08-31CeltaGranada
31/08/13,Osasuna,Villarreal,0,3,A,2.5,3.3,2.65,2013-08-31,2013/2014,3,SP1,0-3,-3,-0.1499999999999999,2013-08-31OsasunaVillarreal
31/08/13,Valladolid,Getafe,1,0,H,2.0,3.3,3.6,2013-08-31,2013/2014,3,SP1,1-0,1,-1.6,2013-08-31ValladolidGetafe
