game_id,HomeTeam,AwayTeam,home_score,away_score,season,datetime,elo_home,elo_away
2006-08-11Bayern MunichDortmund,Bayern Munich,Dortmund,2.0,0.0,2006/2007,2006-08-11,974.5986243756795,891.1547926878384
2006-08-12HamburgBielefeld,Hamburg,Bielefeld,1.0,1.0,2006/2007,2006-08-12,738.1056759172195,962.3755300026512
2006-08-12LeverkusenAachen,Leverkusen,Aachen,3.0,0.0,2006/2007,2006-08-12,824.1022902526647,548.9582412971447
2006-08-12M'gladbachCottbus,M'gladbach,Cottbus,2.0,0.0,2006/2007,2006-08-12,562.4863635223998,806.2391222253768
2006-08-12MainzBochum,Mainz,Bochum,2.0,1.0,2006/2007,2006-08-12,27.47799689716958,227.06789789962923
2006-08-12Schalke 04Ein Frankfurt,Schalke 04,Ein Frankfurt,1.0,1.0,2006/2007,2006-08-12,857.9215183760629,860.1237075446013
2006-08-12StuttgartNurnberg,Stuttgart,Nurnberg,0.0,3.0,2006/2007,2006-08-12,877.1190346353792,1292.2829075806349
2006-08-13HannoverWerder Bremen,Hannover,Werder Bremen,2.0,4.0,2006/2007,2006-08-13,58.88754152149478,1241.0671113416392
2006-08-13WolfsburgHertha,Wolfsburg,Hertha,0.0,0.0,2006/2007,2006-08-13,554.2344599260722,830.1305173296751
2006-08-18NurnbergM'gladbach,Nurnberg,M'gladbach,1.0,0.0,2006/2007,2006-08-18,1292.2829075806349,562.4863635223998
2006-08-19AachenSchalke 04,Aachen,Schalke 04,0.0,1.0,2006/2007,2006-08-19,548.9582412971447,857.9215183760629
2006-08-19ArsenalAston Villa,Arsenal,Aston Villa,1.0,1.0,2006/2007,2006-08-19,1138.6044557270343,825.3122648380961
2006-08-19BoltonTottenham,Bolton,Tottenham,2.0,0.0,2006/2007,2006-08-19,919.6937124781655,600.8233256031189
2006-08-19CottbusHamburg,Cottbus,Hamburg,2.0,2.0,2006/2007,2006-08-19,806.2391222253768,738.1056759172195
2006-08-19DortmundMainz,Dortmund,Mainz,1.0,1.0,2006/2007,2006-08-19,891.1547926878384,27.47799689716958
2006-08-19Ein FrankfurtWolfsburg,Ein Frankfurt,Wolfsburg,0.0,0.0,2006/2007,2006-08-19,860.1237075446013,554.2344599260722
2006-08-19EvertonWatford,Everton,Watford,2.0,1.0,2006/2007,2006-08-19,993.2223964492543,625.7849680963252
2006-08-19HerthaHannover,Hertha,Hannover,4.0,0.0,2006/2007,2006-08-19,830.1305173296751,58.88754152149478
2006-08-19NewcastleWigan,Newcastle,Wigan,2.0,1.0,2006/2007,2006-08-19,546.4210177012517,828.8631178145351
2006-08-19PortsmouthBlackburn,Portsmouth,Blackburn,3.0,0.0,2006/2007,2006-08-19,1121.7170078252532,703.7686407304944
2006-08-19ReadingMiddlesbrough,Reading,Middlesbrough,3.0,2.0,2006/2007,2006-08-19,607.3559022900973,566.5385843403267
2006-08-19Sheffield UnitedLiverpool,Sheffield United,Liverpool,1.0,1.0,2006/2007,2006-08-19,305.4687276758392,797.5305475027671
2006-08-19Werder BremenLeverkusen,Werder Bremen,Leverkusen,2.0,1.0,2006/2007,2006-08-19,1241.0671113416392,824.1022902526647
2006-08-19West HamCharlton,West Ham,Charlton,3.0,1.0,2006/2007,2006-08-19,416.0081025535984,359.67118218739995
2006-08-20BielefeldStuttgart,Bielefeld,Stuttgart,2.0,3.0,2006/2007,2006-08-20,962.3755300026512,877.1190346353792
2006-08-20BochumBayern Munich,Bochum,Bayern Munich,1.0,2.0,2006/2007,2006-08-20,227.06789789962923,974.5986243756795
2006-08-20ChelseaMan City,Chelsea,Man City,3.0,0.0,2006/2007,2006-08-20,996.0647954514375,544.3478380462053
2006-08-20Man UnitedFulham,Man United,Fulham,5.0,1.0,2006/2007,2006-08-20,1260.8780573074196,403.9804880637797
2006-08-22TottenhamSheffield United,Tottenham,Sheffield United,2.0,0.0,2006/2007,2006-08-22,600.8233256031189,305.4687276758392
2006-08-22WatfordWest Ham,Watford,West Ham,1.0,1.0,2006/2007,2006-08-22,625.7849680963252,416.0081025535984
2006-08-23Aston VillaReading,Aston Villa,Reading,2.0,1.0,2006/2007,2006-08-23,825.3122648380961,607.3559022900973
2006-08-23BlackburnEverton,Blackburn,Everton,1.0,1.0,2006/2007,2006-08-23,703.7686407304944,993.2223964492543
2006-08-23CharltonMan United,Charlton,Man United,0.0,3.0,2006/2007,2006-08-23,359.67118218739995,1260.8780573074196
2006-08-23FulhamBolton,Fulham,Bolton,1.0,1.0,2006/2007,2006-08-23,403.9804880637797,919.6937124781655
2006-08-23Man CityPortsmouth,Man City,Portsmouth,0.0,0.0,2006/2007,2006-08-23,544.3478380462053,1121.7170078252532
2006-08-23MiddlesbroughChelsea,Middlesbrough,Chelsea,2.0,1.0,2006/2007,2006-08-23,566.5385843403267,996.0647954514375
2006-08-25Schalke 04Werder Bremen,Schalke 04,Werder Bremen,2.0,0.0,2006/2007,2006-08-25,857.9215183760629,1241.0671113416392
2006-08-26Bayern MunichNurnberg,Bayern Munich,Nurnberg,0.0,0.0,2006/2007,2006-08-26,974.5986243756795,1292.2829075806349
2006-08-26BochumCottbus,Bochum,Cottbus,0.0,1.0,2006/2007,2006-08-26,227.06789789962923,806.2391222253768
2006-08-26CharltonBolton,Charlton,Bolton,2.0,0.0,2006/2007,2006-08-26,359.67118218739995,919.6937124781655
