game_id,HomeTeam,AwayTeam,home_score,away_score,season,datetime,elo_home,elo_away
2006-08-19ArsenalAston Villa,Arsenal,Aston Villa,1.0,1.0,2006/2007,2006-08-19,1132.185204620399,812.7158947191255
2006-08-19BoltonTottenham,Bolton,Tottenham,2.0,0.0,2006/2007,2006-08-19,879.7219897818073,549.1284884860364
2006-08-19EvertonWatford,Everton,Watford,2.0,1.0,2006/2007,2006-08-19,1074.341982756928,507.9313128556731
2006-08-19NewcastleWigan,Newcastle,Wigan,2.0,1.0,2006/2007,2006-08-19,658.4602503588768,816.5240013766297
2006-08-19PortsmouthBlackburn,Portsmouth,Blackburn,3.0,0.0,2006/2007,2006-08-19,1094.748390146227,638.4715398190115
2006-08-19ReadingMiddlesbrough,Reading,Middlesbrough,3.0,2.0,2006/2007,2006-08-19,628.1317267196675,389.5708343196477
2006-08-19Sheffield UnitedLiverpool,Sheffield United,Liverpool,1.0,1.0,2006/2007,2006-08-19,533.5479552510478,746.4935057570856
2006-08-19West HamCharlton,West Ham,Charlton,3.0,1.0,2006/2007,2006-08-19,434.77458441379747,684.1689921437647
2006-08-20ChelseaMan City,Chelsea,Man City,3.0,0.0,2006/2007,2006-08-20,1136.527626301908,329.7463183462309
2006-08-20Man UnitedFulham,Man United,Fulham,5.0,1.0,2006/2007,2006-08-20,1144.706630119776,738.1027717063606
2006-08-22TottenhamSheffield United,Tottenham,Sheffield United,2.0,0.0,2006/2007,2006-08-22,549.1284884860364,533.5479552510478
2006-08-22WatfordWest Ham,Watford,West Ham,1.0,1.0,2006/2007,2006-08-22,507.9313128556731,434.77458441379747
2006-08-23Aston VillaReading,Aston Villa,Reading,2.0,1.0,2006/2007,2006-08-23,812.7158947191255,628.1317267196675
2006-08-23BlackburnEverton,Blackburn,Everton,1.0,1.0,2006/2007,2006-08-23,638.4715398190115,1074.341982756928
2006-08-23CharltonMan United,Charlton,Man United,0.0,3.0,2006/2007,2006-08-23,684.1689921437647,1144.706630119776
2006-08-23FulhamBolton,Fulham,Bolton,1.0,1.0,2006/2007,2006-08-23,738.1027717063606,879.7219897818073
2006-08-23Man CityPortsmouth,Man City,Portsmouth,0.0,0.0,2006/2007,2006-08-23,329.7463183462309,1094.748390146227
2006-08-23MiddlesbroughChelsea,Middlesbrough,Chelsea,2.0,1.0,2006/2007,2006-08-23,389.5708343196477,1136.527626301908
2006-08-26CharltonBolton,Charlton,Bolton,2.0,0.0,2006/2007,2006-08-26,684.1689921437647,879.7219897818073
2006-08-26FulhamSheffield United,Fulham,Sheffield United,1.0,0.0,2006/2007,2006-08-26,738.1027717063606,533.5479552510478
2006-08-26LiverpoolWest Ham,Liverpool,West Ham,2.0,1.0,2006/2007,2006-08-26,746.4935057570856,434.77458441379747
2006-08-26Man CityArsenal,Man City,Arsenal,1.0,0.0,2006/2007,2006-08-26,329.7463183462309,1132.185204620399
2006-08-26TottenhamEverton,Tottenham,Everton,0.0,2.0,2006/2007,2006-08-26,549.1284884860364,1074.341982756928
2006-08-26WatfordMan United,Watford,Man United,1.0,2.0,2006/2007,2006-08-26,507.9313128556731,1144.706630119776
2006-08-26WiganReading,Wigan,Reading,1.0,0.0,2006/2007,2006-08-26,816.5240013766297,628.1317267196675
2006-08-27Aston VillaNewcastle,Aston Villa,Newcastle,2.0,0.0,2006/2007,2006-08-27,812.7158947191255,658.4602503588768
2006-08-27BlackburnChelsea,Blackburn,Chelsea,0.0,2.0,2006/2007,2006-08-27,638.4715398190115,1136.527626301908
2006-08-28MiddlesbroughPortsmouth,Middlesbrough,Portsmouth,0.0,4.0,2006/2007,2006-08-28,389.5708343196477,1094.748390146227
2006-09-09ArsenalMiddlesbrough,Arsenal,Middlesbrough,1.0,1.0,2006/2007,2006-09-09,1132.185204620399,389.5708343196477
2006-09-09BoltonWatford,Bolton,Watford,1.0,0.0,2006/2007,2006-09-09,879.7219897818073,507.9313128556731
2006-09-09ChelseaCharlton,Chelsea,Charlton,2.0,1.0,2006/2007,2006-09-09,1136.527626301908,684.1689921437647
2006-09-09EvertonLiverpool,Everton,Liverpool,3.0,0.0,2006/2007,2006-09-09,1074.341982756928,746.4935057570856
2006-09-09Man UnitedTottenham,Man United,Tottenham,1.0,0.0,2006/2007,2006-09-09,1144.706630119776,549.1284884860364
2006-09-09NewcastleFulham,Newcastle,Fulham,1.0,2.0,2006/2007,2006-09-09,658.4602503588768,738.1027717063606
2006-09-09PortsmouthWigan,Portsmouth,Wigan,1.0,0.0,2006/2007,2006-09-09,1094.748390146227,816.5240013766297
2006-09-09Sheffield UnitedBlackburn,Sheffield United,Blackburn,0.0,0.0,2006/2007,2006-09-09,533.5479552510478,638.4715398190115
