game_id,HomeTeam,AwayTeam,home_score,away_score,season,datetime,elo_home,elo_away
2006-09-09FiorentinaInter,Fiorentina,Inter,2.0,3.0,2006/2007,2006-09-09,621.6416291364808,869.0155137427516
2006-09-09RomaLivorno,Roma,Livorno,2.0,0.0,2006/2007,2006-09-09,1250.3737085489656,705.8990776517671
2006-09-10AtalantaAscoli,Atalanta,Ascoli,3.0,1.0,2006/2007,2006-09-10,585.5119270979703,404.71311076802965
2006-09-10CagliariCatania,Cagliari,Catania,0.0,1.0,2006/2007,2006-09-10,693.1452202484714,778.8388639651455
2006-09-10ChievoSiena,Chievo,Siena,1.0,2.0,2006/2007,2006-09-10,552.2192348681846,872.04992089539
2006-09-10MessinaUdinese,Messina,Udinese,1.0,0.0,2006/2007,2006-09-10,729.6123850673011,1152.8500711127297
2006-09-10MilanLazio,Milan,Lazio,2.0,1.0,2006/2007,2006-09-10,910.9772498585576,806.3757798033363
2006-09-10PalermoReggina,Palermo,Reggina,4.0,3.0,2006/2007,2006-09-10,818.3808206342582,827.7572627397558
2006-09-10SampdoriaEmpoli,Sampdoria,Empoli,1.0,2.0,2006/2007,2006-09-10,632.3410902259584,841.913826184369
2006-09-10TorinoParma,Torino,Parma,1.0,1.0,2006/2007,2006-09-10,344.92129092849683,313.3509054109698
2006-09-16InterSampdoria,Inter,Sampdoria,1.0,1.0,2006/2007,2006-09-16,869.0155137427516,632.3410902259584
2006-09-16RegginaCagliari,Reggina,Cagliari,2.0,1.0,2006/2007,2006-09-16,827.7572627397558,693.1452202484714
2006-09-17AscoliMessina,Ascoli,Messina,1.0,1.0,2006/2007,2006-09-17,404.71311076802965,729.6123850673011
2006-09-17CataniaAtalanta,Catania,Atalanta,0.0,0.0,2006/2007,2006-09-17,778.8388639651455,585.5119270979703
2006-09-17EmpoliChievo,Empoli,Chievo,1.0,1.0,2006/2007,2006-09-17,841.913826184369,552.2192348681846
2006-09-17LazioPalermo,Lazio,Palermo,1.0,2.0,2006/2007,2006-09-17,806.3757798033363,818.3808206342582
2006-09-17LivornoFiorentina,Livorno,Fiorentina,1.0,0.0,2006/2007,2006-09-17,705.8990776517671,621.6416291364808
2006-09-17ParmaMilan,Parma,Milan,0.0,2.0,2006/2007,2006-09-17,313.3509054109698,910.9772498585576
2006-09-17SienaRoma,Siena,Roma,1.0,3.0,2006/2007,2006-09-17,872.04992089539,1250.3737085489656
2006-09-17UdineseTorino,Udinese,Torino,2.0,0.0,2006/2007,2006-09-17,1152.8500711127297,344.92129092849683
2006-09-20AtalantaEmpoli,Atalanta,Empoli,0.0,0.0,2006/2007,2006-09-20,585.5119270979703,841.913826184369
2006-09-20CagliariLivorno,Cagliari,Livorno,2.0,2.0,2006/2007,2006-09-20,693.1452202484714,705.8990776517671
2006-09-20ChievoLazio,Chievo,Lazio,0.0,1.0,2006/2007,2006-09-20,552.2192348681846,806.3757798033363
2006-09-20FiorentinaParma,Fiorentina,Parma,1.0,0.0,2006/2007,2006-09-20,621.6416291364808,313.3509054109698
2006-09-20MessinaReggina,Messina,Reggina,2.0,0.0,2006/2007,2006-09-20,729.6123850673011,827.7572627397558
2006-09-20MilanAscoli,Milan,Ascoli,1.0,0.0,2006/2007,2006-09-20,910.9772498585576,404.71311076802965
2006-09-20PalermoCatania,Palermo,Catania,5.0,3.0,2006/2007,2006-09-20,818.3808206342582,778.8388639651455
2006-09-20RomaInter,Roma,Inter,0.0,1.0,2006/2007,2006-09-20,1250.3737085489656,869.0155137427516
2006-09-20SampdoriaUdinese,Sampdoria,Udinese,3.0,3.0,2006/2007,2006-09-20,632.3410902259584,1152.8500711127297
2006-09-20TorinoSiena,Torino,Siena,1.0,2.0,2006/2007,2006-09-20,344.92129092849683,872.04992089539
2006-09-23CataniaMessina,Catania,Messina,2.0,2.0,2006/2007,2006-09-23,778.8388639651455,729.6123850673011
2006-09-23LivornoMilan,Livorno,Milan,0.0,0.0,2006/2007,2006-09-23,705.8990776517671,910.9772498585576
2006-09-24AscoliSampdoria,Ascoli,Sampdoria,1.0,1.0,2006/2007,2006-09-24,404.71311076802965,632.3410902259584
2006-09-24EmpoliPalermo,Empoli,Palermo,2.0,0.0,2006/2007,2006-09-24,841.913826184369,818.3808206342582
2006-09-24InterChievo,Inter,Chievo,4.0,3.0,2006/2007,2006-09-24,869.0155137427516,552.2192348681846
2006-09-24LazioAtalanta,Lazio,Atalanta,1.0,0.0,2006/2007,2006-09-24,806.3757798033363,585.5119270979703
2006-09-24ParmaRoma,Parma,Roma,0.0,4.0,2006/2007,2006-09-24,313.3509054109698,1250.3737085489656
2006-09-24RegginaTorino,Reggina,Torino,1.0,1.0,2006/2007,2006-09-24,827.7572627397558,344.92129092849683
2006-09-24SienaCagliari,Siena,Cagliari,0.0,0.0,2006/2007,2006-09-24,872.04992089539,693.1452202484714
2006-09-24UdineseFiorentina,Udinese,Fiorentina,1.0,0.0,2006/2007,2006-09-24,1152.8500711127297,621.6416291364808
2006-09-30AtalantaReggina,Atalanta,Reggina,1.0,1.0,2006/2007,2006-09-30,585.5119270979703,827.7572627397558
2006-09-30TorinoLazio,Torino,Lazio,0.0,4.0,2006/2007,2006-09-30,344.92129092849683,806.3757798033363
2006-10-01CagliariInter,Cagliari,Inter,1.0,1.0,2006/2007,2006-10-01,693.1452202484714,869.0155137427516
2006-10-01ChievoPalermo,Chievo,Palermo,0.0,1.0,2006/2007,2006-10-01,552.2192348681846,818.3808206342582
2006-10-01FiorentinaCatania,Fiorentina,Catania,3.0,0.0,2006/2007,2006-10-01,621.6416291364808,778.8388639651455
2006-10-01MessinaLivorno,Messina,Livorno,0.0,1.0,2006/2007,2006-10-01,729.6123850673011,705.8990776517671
2006-10-01MilanSiena,Milan,Siena,0.0,0.0,2006/2007,2006-10-01,910.9772498585576,872.04992089539
2006-10-01RomaEmpoli,Roma,Empoli,1.0,0.0,2006/2007,2006-10-01,1250.3737085489656,841.913826184369
2006-10-01SampdoriaParma,Sampdoria,Parma,3.0,2.0,2006/2007,2006-10-01,632.3410902259584,313.3509054109698
2006-10-01UdineseAscoli,Udinese,Ascoli,0.0,0.0,2006/2007,2006-10-01,1152.8500711127297,404.71311076802965
2006-10-14SampdoriaMilan,Sampdoria,Milan,1.0,1.0,2006/2007,2006-10-14,632.3410902259584,910.9772498585576
